ID do Vendedor,Nome do Vendedor,Telefone do Vendedor,ID do Cliente,Nome do Cliente,Telefone do Cliente,E-mail do Cliente,ID do Produto,Nome do Produto,Preço do Produto,SKU do Produto
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,1,Recycled Steel Computer,64,2188
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,2,Elegant Wooden Chips,447,516
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,3,Gorgeous Cotton Chair,893,2779
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,4,Small Fresh Chicken,884,8120
1,Katie McDermott,406-471-8338,1,Zachary Carroll,604.851.6596,Elizabeth_DAmore85@gmail.com,5,Practical Soft Pants,711,446
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,6,Incredible Frozen Ball,247,433
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,7,Fantastic Metal Shirt,673,1383
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,8,Sleek Plastic Sausages,384,8950
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,9,Refined Bronze Table,886,80930
1,Katie McDermott,406-471-8338,2,Barbara Heathcote,1-320-966-5078,Geoffrey_Pagac@hotmail.com,10,Handmade Granite Soap,240,0000
1,Katie McDermott,406-471-8338,3,Teresa O'Reilly,(614) 446-6587,Godfrey.Ward25@yahoo.com,11,Electronic Metal Pizza,351,7238
